,Brand,Model,Price,Location,Engine,Model Year,Fuel Type
201,Suzuki,Suzuki V-Strom 650 XT ,"9,18,750",mumbai, 650,2020,petrol
202,Triumph,Triumph Street Twin 900cc ,"6,56,250",mumbai, 900cc,2017,petrol
203,Kawasaki,Kawasaki Z650 ,"4,98,750",mumbai,,2020,petrol
204,Royal,Royal Enfield Interceptor 650cc ,"2,70,000",bangalore, 650cc,2019,petrol
205,Triumph,Triumph Street Triple 675cc ,"5,87,000",bangalore, 675cc,2015,petrol
206,Kawasaki,Kawasaki Ninja 650cc ,"4,16,000",mumbai, 650cc,2017,petrol
207,BMW,BMW G 310 R ,"2,60,000",mumbai, 310 R,2019,petrol
208,Royal,Royal Enfield Interceptor 650cc ,"2,55,000",bangalore, 650cc,2019,petrol
209,BMW,BMW G 310 R ,"2,39,200",mumbai, 310 R,2019,petrol
210,Kawasaki,Kawasaki Ninja 300 BS6 ,"3,90,000",mumbai, 300,2021,petrol
211,Royal,Royal Enfield Continental GT 650cc ,"3,12,000",mumbai, 650cc,2019,petrol
212,Kawasaki,Kawasaki Z900 ,"8,32,000",mumbai,,2018,petrol
213,Kawasaki,Kawasaki Z650 ,"3,64,000",mumbai,,2018,petrol
214,Harley-Davidson,Harley-Davidson Street 750 ,"2,99,250",mumbai, 750,2015,petrol
215,Benelli,Benelli TNT 300 ,"2,02,312",mumbai, 300,2017,petrol
216,Royal,Royal Enfield Interceptor 650cc ,"2,96,400",mumbai, 650cc,2020,petrol
217,Royal,Royal Enfield Interceptor 650cc ,"2,60,000",mumbai, 650cc,2019,petrol
218,BMW,BMW G 310 R ,"2,45,000",mumbai, 310 R,2019,petrol
219,Regal,Regal Raptor Daytona 350 ,"2,39,000",hyderabad, 350,2017,petrol
220,Hyosung,Hyosung Aquila Pro GV650 ,"5,35,000",hyderabad,,2018,petrol
221,Ducati,Ducati Diavel 1200cc ,"8,35,000",mumbai, 1200cc,2015,petrol
222,Harley-Davidson,Harley-Davidson Fat Boy ,"10,65,000",mumbai,,2016,petrol
223,Royal,Royal Enfield Interceptor 650cc ,"2,65,000",bangalore, 650cc,2019,petrol
224,Benelli,Benelli TNT 600i ,"4,63,500",mumbai, 600i,2016,petrol
225,Harley-Davidson,Harley-Davidson 1200 Custom ,"7,21,000",mumbai, 120,2018,petrol
226,Triumph,Triumph Street Twin 900cc ,"6,43,750",mumbai, 900cc,2017,petrol
227,Kawasaki,Kawasaki Ninja 650cc ,"3,86,250",mumbai, 650cc,2017,petrol
228,Benelli,Benelli TNT 25 250cc ,"1,15,000",mumbai, 25 ,2017,petrol
229,Kawasaki,Kawasaki Ninja 650cc ,"4,63,500",mumbai, 650cc,2019,petrol
230,Kawasaki,Kawasaki Ninja 300cc ,"2,31,750",mumbai, 300cc,2019,petrol
231,Harley-Davidson,Harley-Davidson Iron 883 ,"5,98,000",mumbai, 883,2015,petrol
232,Kawasaki,Kawasaki Versys 650cc ,"7,54,000",mumbai, 650cc,2020,petrol
233,Royal,Royal Enfield Interceptor 650cc ,"2,60,000",mumbai, 650cc,2019,petrol
234,Benelli,Benelli TNT 25 250cc ,"2,00,000",mumbai, 25 ,2016,petrol
235,BenelliImperiale,BenelliImperiale 400 BS6 ,"2,07,000",hyderabad, 400,2020,petrol
236,Husqvarna,Husqvarna Vitpilen 401 ,"2,40,000",bangalore, 401,2021,petrol
237,Kawasaki,Kawasaki Ninja 300cc ,"3,01,600",mumbai, 300cc,2019,petrol
238,Suzuki,Suzuki Hayabusa 1300cc ,"13,00,000",mumbai, 1300cc,2017,petrol
239,Kawasaki,Kawasaki Z900 ,"9,88,000",mumbai,,2020,petrol
240,Kawasaki,Kawasaki Z650 ,"4,41,500",mumbai,,2018,petrol
241,Kawasaki,Kawasaki Z650 ,"4,62,300",mumbai,,2020,petrol
242,Triumph,Triumph Street Triple 765 ,"8,05,500",mumbai, 765,2018,petrol
243,Kawasaki,Kawasaki ER-6n 650cc ,"2,85,500",mumbai, 650cc,2015,petrol
244,Kawasaki,Kawasaki Z800 ,"5,66,300",mumbai,,2015,petrol
245,Royal,Royal Enfield Interceptor 650cc ,"2,54,300",mumbai, 650cc,2019,petrol
